Koordinatensystem : Lambert konform konisch
Rechtswert        : 3938500 Meter
Hochwert          : 2337500 Meter
Hoehenlage        : 429 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3938500 2337500  1  4 20   5.9  959 224  3.4 7  5.1  83    0    0 306 -339  2
3938500 2337500  1  4 21   5.5  960 232  2.6 8  4.9  81    0    0 310 -337  2
3938500 2337500  1  4 22   5.1  960 267  1.8 7  4.8  82    0    0 308 -337  2
3938500 2337500  1  4 23   5.0  960 295  3.9 6  4.7  82    0    0 293 -337  2
3938500 2337500  1  4 24   5.5  960  57  2.5 6  4.7  81    0    0 285 -335  2
3938500 2337500  1  5  1   5.3  960  41  2.1 5  4.8  81    0    0 278 -330  2
3938500 2337500  1  5  2   4.1  960 101  2.0 3  4.7  85    0    0 259 -325  2
3938500 2337500  1  5  3   3.5  959 185  0.8 0  4.6  88    0    0 232 -325  2
3938500 2337500  1  5  4   3.0  959 180  0.9 1  4.6  90    0    0 226 -325  2
3938500 2337500  1  5  5   2.9  958 180  0.5 3  4.5  91    0    0 244 -325  2
3938500 2337500  1  5  6   2.8  957 171  0.9 6  4.5  91    0    0 269 -325  2
3938500 2337500  1  5  7   2.7  956 195  0.7 7  4.5  93    0    0 288 -326  2
3938500 2337500  1  5  8   2.8  955 304  1.7 8  4.5  93    0    0 297 -326  2
3938500 2337500  1  5  9   2.7  955 273  2.0 8  4.5  92    0    5 302 -327  2
3938500 2337500  1  5 10   3.4  954 288  2.2 7  4.6  92    0   23 301 -329  2
3938500 2337500  1  5 11   3.6  954 299  1.3 8  4.7  90    0   35 305 -333  2
3938500 2337500  1  5 12   4.1  954 317  1.9 7  4.8  90    0   49 308 -337  2
3938500 2337500  1  5 13   4.3  954 312  1.1 7  5.1  93    0   63 302 -340  2
3938500 2337500  1  5 14   4.6  953 121  1.7 7  5.4  98    0   76 302 -343  2
3938500 2337500  1  5 15   4.6  951  56  0.9 8  5.6 100    0   54 314 -344  2
3938500 2337500  1  5 16   4.6  950 344  1.4 8  5.6 100    0   36 327 -344  2
3938500 2337500  1  5 17   4.5  950 318  1.5 8  5.6 100    0    4 329 -343  2
3938500 2337500  1  5 18   4.4  949 305  1.3 7  5.5  99    0    0 317 -341  2
3938500 2337500  1  5 19   5.5  950 310  1.6 7  5.6  98    0    0 309 -341  2
3938500 2337500  1  5 20   5.1  949   9  0.9 8  5.8  98    0    0 322 -341  2
3938500 2337500  1  5 21   5.9  949  38  2.3 8  5.8  97    0    0 334 -340  2
3938500 2337500  1  5 22   6.2  949 359  0.8 8  6.0  96    0    0 336 -340  2
3938500 2337500  1  5 23   6.1  948 353  0.6 8  6.0  96    0    0 335 -341  2
3938500 2337500  1  5 24   6.0  949  15  0.2 8  6.0  97    0    0 334 -341  2
3938500 2337500  1  6  1   7.3  949 356  3.9 8  6.3  97    0    0 335 -340  2
3938500 2337500  1  6  2   8.3  951 325  4.3 8  6.9  98    0    0 338 -341  2
3938500 2337500  1  6  3   8.0  950 179  1.8 8  7.1  98    0    0 339 -343  2
3938500 2337500  1  6  4   8.2  950 216  2.4 8  7.0  98    0    0 337 -346  2
3938500 2337500  1  6  5   8.1  951 190  3.2 8  7.0  97    0    0 336 -349  2
3938500 2337500  1  6  6   8.2  951 203  3.9 8  7.0  98    0    0 334 -351  2
3938500 2337500  1  6  7   8.2  951 210  3.7 8  7.1  98    0    0 332 -352  2
3938500 2337500  1  6  8   8.2  952 212  3.5 8  7.1  98    0    0 330 -352  2
3938500 2337500  1  6  9   8.4  953 213  2.7 8  7.1  98    0    6 329 -352  2
3938500 2337500  1  6 10   8.7  954 222  4.1 8  7.1  96    0   27 329 -352  2
3938500 2337500  1  6 11   8.4  955 220  3.8 7  7.0  95    0   45 323 -353  2
3938500 2337500  1  6 12   7.5  955 259  3.9 7  6.5  92    0   52 314 -354  2
3938500 2337500  1  6 13   7.1  956 284  3.8 8  5.9  88    0   37 314 -354  2
3938500 2337500  1  6 14   6.3  956 279  2.9 8  5.8  90    0   32 316 -355  2
3938500 2337500  1  6 15   6.1  957 264  3.8 8  5.7  91    0   32 314 -354  2
3938500 2337500  1  6 16   5.2  958 249  2.9 8  5.5  92    0   36 314 -352  2
3938500 2337500  1  6 17   4.9  959 243  2.2 8  5.4  94    0    5 312 -349  2
3938500 2337500  1  6 18   4.7  959 247  1.4 8  5.5  97    0    0 311 -346  2
3938500 2337500  1  6 19   4.5  959 261  2.1 8  5.5  99    0    0 311 -343  2
3938500 2337500  1  6 20   4.2  959 258  2.0 8  5.4  98    0    0 312 -342  2
3938500 2337500  1  6 21   3.7  960 254  1.9 8  5.3  99    0    0 311 -340  2
3938500 2337500  1  6 22   3.7  960 227  1.8 7  5.2 100    0    0 307 -339  2
3938500 2337500  1  6 23   3.5  960 194  1.4 7  5.2 100    0    0 300 -338  2
3938500 2337500  1  6 24   3.5  961 197  1.1 8  5.2 100    0    0 308 -337  2
3938500 2337500  1  7  1   3.2  961 257  1.7 8  5.0  98    0    0 314 -337  2
3938500 2337500  1  7  2   2.9  961 248  1.9 8  4.8  96    0    0 313 -336  2
3938500 2337500  1  7  3   2.3  962 242  1.1 8  4.7  97    0    0 312 -335  2
3938500 2337500  1  7  4   2.1  962 268  0.9 8  4.6  98    0    0 312 -334  2
3938500 2337500  1  7  5   1.8  962 278  1.1 8  4.6  99    0    0 311 -333  2
3938500 2337500  1  7  6   1.6  963 259  1.2 7  4.5 100    0    0 305 -332  2
3938500 2337500  1  7  7   1.4  963 266  1.1 7  4.4  98    0    0 297 -330  2
3938500 2337500  1  7  8   1.1  963 287  1.1 7  4.2  97    0    0 296 -328  2
3938500 2337500  1  7  9   1.0  963 289  1.1 7  4.2  98    0    9 295 -326  2
3938500 2337500  1  7 10   0.9  964 286  0.3 8  4.2  99    2   55 302 -327  2
3938500 2337500  1  7 11   0.9  963 297  0.2 6  4.2  99    0   66 296 -329  2
3938500 2337500  1  7 12   0.9  963 297  1.0 8  4.2  99    0   72 296 -332  2
3938500 2337500  1  7 13   1.1  964 303  0.4 7  4.2  99    0   76 302 -335  2
3938500 2337500  1  7 14   1.3  964 229  1.1 8  4.2  97    0   49 303 -337  2
3938500 2337500  1  7 15   1.4  963 240  1.1 8  4.3  98    0   42 309 -337  2
3938500 2337500  1  7 16   1.5  963 168  1.1 8  4.4  99    0   24 311 -337  2
3938500 2337500  1  7 17   1.7  963 161  1.0 7  4.5 100    0    3 305 -336  2
3938500 2337500  1  7 18   1.7  963 220  0.9 7  4.5 100    0    0 299 -334  2
3938500 2337500  1  7 19   1.7  964 220  0.8 7  4.5 100    0    0 296 -333  2
3938500 2337500  1  7 20   1.7  964 199  1.1 8  4.5 100    0    0 300 -332  2
3938500 2337500  1  7 21   1.7  964 318  0.0 8  4.5 100    0    0 303 -331  2
3938500 2337500  1  7 22   1.6  964 230  0.0 8  4.5 100    0    0 301 -330  2
3938500 2337500  1  7 23   1.7  964 142  0.2 8  4.5  99    0    0 301 -329  2
3938500 2337500  1  7 24   1.8  964 276  0.1 8  4.5  99    0    0 301 -329  2
3938500 2337500  1  8  1   1.8  964 271  0.0 7  4.5  98    0    0 295 -329  2
3938500 2337500  1  8  2   1.9  963 261  1.0 8  4.4  97    0    0 295 -329  2
3938500 2337500  1  8  3   1.8  963 262  0.9 8  4.4  96    0    0 302 -329  2
3938500 2337500  1  8  4   1.6  963 280  0.2 8  4.4  98    0    0 302 -330  2
3938500 2337500  1  8  5   1.6  963 291  0.3 8  4.5 100    0    0 302 -330  2
3938500 2337500  1  8  6   1.5  963 266  0.1 8  4.5 100    0    0 304 -331  2
3938500 2337500  1  8  7   1.4  963 268  0.8 7  4.4 100    0    0 298 -331  2
3938500 2337500  1  8  8   1.3  963 338  0.1 7  4.4  99    0    0 292 -330  2
3938500 2337500  1  8  9   1.3  963 329  0.0 7  4.3  98    0    8 294 -330  2
3938500 2337500  1  8 10   1.4  963 359  0.5 8  4.4  99    6   48 301 -330  2
3938500 2337500  1  8 11   1.6  963 331  0.0 7  4.4  99    0   62 302 -331  2
3938500 2337500  1  8 12   1.7  964 346  0.6 7  4.5 100    0   88 296 -333  2
3938500 2337500  1  8 13   2.1  963 321  0.8 7  4.5  99    0   77 296 -335  2
3938500 2337500  1  8 14   2.3  963   4  0.9 6  4.6  98    2   92 289 -336  2
3938500 2337500  1  8 15   2.7  963 338  1.7 7  4.7  99    0   62 291 -337  2
3938500 2337500  1  8 16   2.8  963 323  0.9 8  4.8  99    0   30 307 -336  2
3938500 2337500  1  8 17   2.8  963 349  0.9 8  4.9  99    0    4 313 -334  2
3938500 2337500  1  8 18   2.7  963 333  0.9 8  4.9 100    0    0 312 -332  2
3938500 2337500  1  8 19   2.2  963 304  0.9 7  4.7  99    0    0 305 -330  2
3938500 2337500  1  8 20   1.9  964 313  1.1 7  4.5  98    0    0 298 -329  2
3938500 2337500  1  8 21   1.9  964 288  0.9 7  4.5  98    0    0 297 -328  2
3938500 2337500  1  8 22   1.8  965 287  1.0 7  4.4  97    0    0 296 -328  2
3938500 2337500  1  8 23   2.1  965 274  1.1 8  4.5  97    0    0 301 -327  2
3938500 2337500  1  8 24   2.6  965 256  2.6 7  4.7  99    0    0 302 -326  2
3938500 2337500  1  9  1   2.3  965 269  2.3 7  4.6  96    0    0 295 -325  2
3938500 2337500  1  9  2   2.0  966 273  1.8 7  4.3  92    0    0 293 -325  2
3938500 2337500  1  9  3   1.7  966 253  1.8 6  4.1  90    0    0 286 -325  2
3938500 2337500  1  9  4   1.5  966 246  1.8 6  4.0  88    0    0 281 -324  2
3938500 2337500  1  9  5   1.0  966 252  1.3 5  3.9  90    0    0 275 -324  2
3938500 2337500  1  9  6   0.3  967 241  2.1 5  3.9  93    0    0 268 -324  2
3938500 2337500  1  9  7   0.3  967 232  2.1 5  3.8  95    0    0 267 -324  2
3938500 2337500  1  9  8   0.1  967 183  2.2 6  3.9  97    0    0 271 -324  2
3938500 2337500  1  9  9   0.6  967 169  1.5 7  3.9  97    0    9 281 -324  2
3938500 2337500  1  9 10   0.8  968 203  1.3 5  4.0  96   50   53 277 -326  2
3938500 2337500  1  9 11   2.4  968 168  1.9 2  4.1  92  171   58 252 -329  2
3938500 2337500  1  9 12   4.3  968 168  1.4 0  4.0  80  228   66 231 -332  2
3938500 2337500  1  9 13   5.0  968 162  2.0 0  3.9  70  250   65 223 -333  2
3938500 2337500  1  9 14   5.7  967 180  1.9 0  3.8  66  229   61 223 -335  2
3938500 2337500  1  9 15   4.8  966 171  1.9 1  3.8  66  169   52 228 -335  2
3938500 2337500  1  9 16   4.2  965 170  1.0 2  3.9  70   87   39 236 -331  2
3938500 2337500  1  9 17   2.8  966 148  1.0 6  3.8  75   11   14 254 -328  2
3938500 2337500  1  9 18   1.5  965  92  2.3 7  3.7  80    0    0 269 -322  2
3938500 2337500  1  9 19   1.1  965  95  1.8 7  3.7  85    0    0 266 -318  2
3938500 2337500  1  9 20   0.8  964  70  1.3 7  3.7  86    0    0 262 -317  2
3938500 2337500  1  9 21   0.6  964  52  1.3 6  3.7  87    0    0 257 -317  2
3938500 2337500  1  9 22   0.2  964  31  0.3 2  3.6  88    0    0 236 -316  2
3938500 2337500  1  9 23  -0.3  963  41  0.5 2  3.6  90    0    0 218 -313  2
3938500 2337500  1  9 24  -0.3  964   5  1.5 7  3.7  94    0    0 237 -311  2
3938500 2337500  1 10  1  -0.5  964 261  0.8 8  3.8  97    0    0 261 -310  2
3938500 2337500  1 10  2  -0.4  963 268  0.9 8  3.8  99    0    0 267 -311  2
3938500 2337500  1 10  3  -0.4  963 260  0.9 8  3.9 100    0    0 269 -311  2
3938500 2337500  1 10  4  -0.4  963 251  0.8 8  3.9 100    0    0 270 -311  2
3938500 2337500  1 10  5  -0.4  963 290  0.9 8  3.9 100    0    0 272 -311  2
3938500 2337500  1 10  6  -0.2  962 331  1.0 8  3.9 100    0    0 274 -311  2
3938500 2337500  1 10  7   0.3  962 280  1.7 8  4.0 100    0    0 276 -311  2
3938500 2337500  1 10  8   0.2  962 277  1.7 8  4.0  99    0    0 278 -312  2
3938500 2337500  1 10  9   0.5  962 219  1.3 8  4.0  97    0   12 280 -312  2
3938500 2337500  1 10 10   0.6  963 179  2.0 8  4.0  97    0   30 282 -313  2
