timestep;aFRR_neg_energy_EUR_MWh
725400;-798.16
726300;-792.9
727200;-771.1
728100;-766.13
729000;-762.89
729900;-758.69
730800;-758.85
731700;-762
732600;-760.99
733500;-759.87
734400;-744.61
735300;-743.97
736200;-744.01
737100;-743.48
738000;-743.86
738900;-743.86
739800;-744.48
740700;-744.69
741600;-746.02
742500;-746.68
743400;-746.13
744300;-749.28
745200;-754.58
746100;-753.85
747000;-751.1
747900;-750.36
748800;-849.75
749700;-843.59
750600;-842.76
751500;-842.34
752400;-843.83
753300;-844.4
754200;-843.91
755100;-843.8
756000;-844.32
756900;-844.75
757800;-844.27
758700;-843.36
759600;-729.14
760500;-728.8
761400;-728.79
762300;-727.24
763200;-705.89
764100;-709.8
765000;-710.03
765900;-708.03
766800;-706.87
767700;-707.26
768600;-695.88
769500;-721.99
770400;-724.62
771300;-725.54
772200;-751.24
773100;-757.1
774000;-753.09
774900;-752.5
775800;-753.55
776700;-804.98
777600;-859.64
778500;-854.99
779400;-855.99
780300;-855.36
781200;-855.42
782100;-855.88
783000;-857.62
783900;-857.21
784800;-857.94
785700;-859.18
786600;-858.91
787500;-858.5
788400;-857.6
789300;-858.27
790200;-858.07
791100;-858.01
792000;-800.54
792900;-778.79
793800;-771.91
794700;-770.2
795600;-820.4
796500;-793.22
797400;-771.41
798300;-769.82
799200;-864.02
800100;-870.03
801000;-870.16
801900;-1232.1
802800;-894.26
803700;-984.68
804600;-882.64
805500;-882.34
806400;-824.49
807300;-810.35
808200;-809.01
809100;-809.16
810000;-809.43
810900;-808.82
811800;-809.29
812700;-809.51
813600;-809.05
814500;-809.13
815400;-821.77
816300;-824.08
817200;-788.27
818100;-793.7
819000;-791.44
819900;-790.04
820800;-766.22
821700;-765.41
822600;-765.97
823500;-764.05
824400;-766.34
825300;-764.44
826200;-763.66
827100;-759.79
828000;-752.41
828900;-752.12
829800;-751.11
830700;-1126.85
831600;-753.06
832500;-1160.75
833400;-1159.96
834300;-777.48
835200;-832.31
836100;-827.12
837000;-835.63
837900;-834.45
838800;-836.18
839700;-839.77
840600;-838.47
841500;-840.07
842400;-840.73
843300;-840.57
844200;-840.46
845100;-840.47
846000;-708.77
846900;-709.47
847800;-709.82
848700;-709.92
849600;-747.42
850500;-747.31
851400;-747.68
852300;-744.57
853200;-742.05
854100;-742.38
855000;-742.63
855900;-741.91
856800;-740.5
857700;-740.88
858600;-744.61
859500;-769.64
860400;-772.05
861300;-763.86
862200;-763.33
863100;-762.28
864000;-831
864900;-832.68
865800;-835.02
866700;-835.8
867600;-835.29
868500;-835.88
869400;-836.21
870300;-834.65
871200;-886.9
872100;-911.01
873000;-913.4
873900;-915.14
874800;-916.13
875700;-916.78
876600;-917.41
877500;-924.73
878400;-926.73
879300;-939.52
880200;-879.52
881100;-868.72
882000;-928.8
882900;-941.56
883800;-878.51
884700;-866.98
885600;-923.12
886500;-914.49
887400;-911.27
888300;-909.55
889200;-912.37
890100;-911.58
891000;-910.05
891900;-910.03
892800;-920.05
893700;-913.78
894600;-912.34
895500;-909.22
896400;-911.35
897300;-912
898200;-912.61
899100;-973.05
900000;-923.72
900900;-908.24
901800;-974.22
902700;-928.86
903600;-905.42
904500;-901.55
905400;-901.58
906300;-1154.49
907200;-1032.91
908100;-845.36
909000;-845.45
909900;-844.66
910800;-845.05
911700;-844.71
912600;-844.99
913500;-845.11
914400;-846.04
915300;-809.13
916200;-817.19
917100;-810.13
918000;-833.4
918900;-841.99
919800;-842.34
920700;-842.74
921600;-856.04
922500;-858.4
923400;-857.96
924300;-858.22
925200;-864.39
926100;-865.57
927000;-864.43
927900;-864.05
928800;-851.83
929700;-863.32
930600;-866.37
931500;-853.07
932400;-759.48
933300;-760.02
934200;-760.42
935100;-757.13
936000;-802.72
936900;-803.75
937800;-804.01
938700;-802.43
939600;-766.59
940500;-803.21
941400;-811.1
942300;-811.56
943200;-809.53
944100;-789.59
945000;-808.71
945900;-808.27
946800;-804.32
947700;-804.39
948600;-804.48
949500;-823.23
950400;-685.47
951300;-680.03
952200;-681.2
953100;-682.69
954000;-681.67
954900;-681.91
955800;-682.58
956700;-683.09
957600;-684.41
958500;-688.29
959400;-726.99
960300;-742.21
961200;-707.92
962100;-696.86
963000;-691
963900;-694.43
964800;-743.97
965700;-738.72
966600;-736.32
967500;-733.25
968400;-732.72
969300;-732.98
970200;-733.59
971100;-732.97
972000;-813.79
972900;-823.63
973800;-833.43
974700;-833.21
975600;-837.93
976500;-840.43
977400;-840.64
978300;-823.49
979200;-753.2
980100;-740.25
981000;-739.17
981900;-738.89
982800;-738.69
983700;-738.39
984600;-744.45
985500;-744.24
986400;-716.83
987300;-723.17
988200;-835.69
989100;-714.62
990000;-686.06
990900;-896.08
991800;-922.01
992700;-666.33
993600;-755.84
994500;-759.68
995400;-756.25
996300;-754.92
997200;-752.79
998100;-759.03
999000;-759.55
999900;-759.69
1000800;-760.51
1001700;-761.08
1002600;-754.67
1003500;-755.5
1004400;-757.72
1005300;-757.25
1006200;-755.76
1007100;-757.69
1008000;-660.19
1008900;-662.28
1009800;-660.96
1010700;-660.58
1011600;-665.41
1012500;-667.54
1013400;-666.31
1014300;-666.71
1015200;-668.51
1016100;-668.86
1017000;-668.66
1017900;-668.43
1018800;-589.5
1019700;-589.81
1020600;-589.97
1021500;-587.56
1022400;-692.25
1023300;-719.96
1024200;-720.25
1025100;-719.13
1026000;-720.69
1026900;-720.81
1027800;-721.3
1028700;-720.25
1029600;-732.29
1030500;-733.03
1031400;-727.49
1032300;-725.87
1033200;-724.81
1034100;-724.91
1035000;-740.38
1035900;-752.21
1036800;-737.91
1037700;-737.94
1038600;-741.54
1039500;-742.32
1040400;-742.84
1041300;-743.56
1042200;-743.99
1043100;-743.7
1044000;-742.69
1044900;-743.51
1045800;-744.06
1046700;-741.75
1047600;-780.66
1048500;-784.05
1049400;-786.35
1050300;-786.17
1051200;-807.05
1052100;-809.79
1053000;-811.03
1053900;-953.26
1054800;-1299.32
1055700;-1301.63
1056600;-817.83
1057500;-818.46
1058400;-932.68
1059300;-921.18
1060200;-918.29
1061100;-919.43
1062000;-957.69
1062900;-928.12
1063800;-924.66
1064700;-2043.1
1065600;-1395.89
1066500;-1555.3
1067400;-1558.38
1068300;-1560.58
1069200;-1503.48
1070100;-1706.2
1071000;-1443.83
1071900;-1546.76
1072800;-1677.08
1073700;-1730.07
1074600;-957.51
1075500;-964.11
1076400;-924.82
1077300;-955.47
1078200;-960.77
1079100;-959.89
1080000;-855.69
1080900;-838.92
1081800;-851.65
1082700;-879.32
1083600;-881.86
1084500;-884.68
1085400;-885.98
1086300;-887.42
1087200;-888.71
1088100;-889.99
1089000;-891.01
1089900;-892.61
1090800;-894.98
1091700;-897.42
1092600;-898.27
1093500;-900.23
1094400;-856.35
1095300;-833.06
1096200;-822.97
1097100;-815.98
1098000;-813.59
1098900;-823.77
1099800;-814.07
1100700;-809.37
1101600;-805.82
1102500;-803.77
1103400;-799.67
1104300;-795.86
1105200;-718.04
1106100;-690.39
1107000;-690.11
1107900;-689.3
1108800;-815.18
1109700;-865.27
1110600;-870.74
1111500;-897.59
1112400;-893.19
1113300;-881.25
1114200;-872.83
1115100;-892.21
1116000;-899.23
1116900;-895.94
1117800;-900.21
1118700;-900.44
1119600;-899.55
1120500;-897.52
1121400;-922.52
1122300;-957.03
1123200;-955.09
1124100;-998.87
1125000;-1010.74
1125900;-1014.65
1126800;-1018.55
1127700;-1022.14
1128600;-1025.57
1129500;-1029.42
1130400;-1032.12
1131300;-1034.94
1132200;-1037.55
1133100;-1040.05
1134000;-1042.47
1134900;-1045.39
1135800;-1047.78
1136700;-1049.71
1137600;-867.74
1138500;-817.39
1139400;-813.58
1140300;-814.3
1141200;-814.34
1142100;-816.33
1143000;-805.14
1143900;-802.22
1144800;-902.65
1145700;-937.18
1146600;-923.23
1147500;-917.43
1148400;-938.77
1149300;-1706.58
1150200;-949.71
1151100;-917.83
1152000;-929.96
1152900;-879.26
1153800;-838
1154700;-831.21
1155600;-867.54
1156500;-852.4
1157400;-831.33
1158300;-829.05
1159200;-828.1
1160100;-828.26
1161000;-828.17
1161900;-826.06
1162800;-821.42
1163700;-819.31
1164600;-817.49
1165500;-812.39
1166400;-810
1167300;-782.01
1168200;-809.12
1169100;-819.21
1170000;-818.32
1170900;-835.85
1171800;-831.63
1172700;-829.01
1173600;-846.22
1174500;-835.14
1175400;-823.97
1176300;-795.31
1177200;-827.65
1178100;-828.75
1179000;-806.47
1179900;-791.12
1180800;-835
1181700;-801.56
1182600;-779.27
1183500;-765.8
1184400;-753.62
1185300;-752.84
1186200;-752.17
1187100;-751.94
1188000;-739.07
1188900;-725.75
1189800;-720.05
1190700;-716.51
1191600;-624.73
1192500;-617.85
1193400;-617.29
1194300;-662.19
1195200;-868.22
1196100;-919.91
1197000;-920.14
1197900;-964.78
1198800;-904.53
1199700;-894.95
1200600;-912.48
1201500;-957.44
1202400;-909.77
1203300;-860.33
1204200;-906.09
1205100;-966.76
1206000;-876.5
1206900;-928.76
1207800;-970.4
1208700;-976.76
1209600;-1048.64
1210500;-1079.79
1211400;-1086.3
1212300;-1085.7
1213200;-1053.87
1214100;-1072.96
1215000;-1084.31
1215900;-1084.02
1216800;-1083.83
1217700;-1084.18
1218600;-1083.77
1219500;-1082.37
1220400;-1082.22
1221300;-1082.56
1222200;-1081.68
1223100;-1082
1224000;-1057.39
