timestep;aFRR_neg_cap_EUR_MW_h
1139400;6.2
1140300;6.2
1141200;6.2
1142100;6.2
1143000;6.2
1143900;6.2
1144800;6.2
1145700;6.2
1146600;6.2
1147500;6.2
1148400;6.2
1149300;6.2
1150200;6.2
1151100;6.2
1152000;4.14
1152900;4.14
1153800;4.14
1154700;4.14
1155600;4.14
1156500;4.14
1157400;4.14
1158300;4.14
1159200;4.14
1160100;4.14
1161000;4.14
1161900;4.14
1162800;4.14
1163700;4.14
1164600;4.14
1165500;4.14
1166400;4.76
1167300;4.76
1168200;4.76
1169100;4.76
1170000;4.76
1170900;4.76
1171800;4.76
1172700;4.76
1173600;4.76
1174500;4.76
1175400;4.76
1176300;4.76
1177200;4.76
1178100;4.76
1179000;4.76
1179900;4.76
1180800;2.31
1181700;2.31
1182600;2.31
1183500;2.31
1184400;2.31
1185300;2.31
1186200;2.31
1187100;2.31
1188000;2.31
1188900;2.31
1189800;2.31
1190700;2.31
1191600;2.31
1192500;2.31
1193400;2.31
1194300;2.31
1195200;4.45
1196100;4.45
1197000;4.45
1197900;4.45
1198800;4.45
1199700;4.45
1200600;4.45
1201500;4.45
1202400;4.45
1203300;4.45
1204200;4.45
1205100;4.45
1206000;4.45
1206900;4.45
1207800;4.45
1208700;4.45
1209600;10.38
1210500;10.38
1211400;10.38
1212300;10.38
1213200;10.38
1214100;10.38
1215000;10.38
1215900;10.38
1216800;10.38
1217700;10.38
1218600;10.38
1219500;10.38
1220400;10.38
1221300;10.38
1222200;10.38
1223100;10.38
1224000;6.59
1224900;6.59
1225800;6.59
1226700;6.59
1227600;6.59
1228500;6.59
1229400;6.59
1230300;6.59
1231200;6.59
1232100;6.59
1233000;6.59
1233900;6.59
1234800;6.59
1235700;6.59
1236600;6.59
1237500;6.59
1238400;3.41
1239300;3.41
1240200;3.41
1241100;3.41
1242000;3.41
1242900;3.41
1243800;3.41
1244700;3.41
1245600;3.41
1246500;3.41
1247400;3.41
1248300;3.41
1249200;3.41
1250100;3.41
1251000;3.41
1251900;3.41
1252800;3.73
1253700;3.73
1254600;3.73
1255500;3.73
1256400;3.73
1257300;3.73
1258200;3.73
1259100;3.73
1260000;3.73
1260900;3.73
1261800;3.73
1262700;3.73
1263600;3.73
1264500;3.73
1265400;3.73
1266300;3.73
1267200;1.88
1268100;1.88
1269000;1.88
1269900;1.88
1270800;1.88
1271700;1.88
1272600;1.88
1273500;1.88
1274400;1.88
1275300;1.88
1276200;1.88
1277100;1.88
1278000;1.88
1278900;1.88
1279800;1.88
1280700;1.88
1281600;3.65
1282500;3.65
1283400;3.65
1284300;3.65
1285200;3.65
1286100;3.65
1287000;3.65
1287900;3.65
1288800;3.65
1289700;3.65
1290600;3.65
1291500;3.65
1292400;3.65
1293300;3.65
1294200;3.65
1295100;3.65
1296000;7.97
1296900;7.97
1297800;7.97
1298700;7.97
1299600;7.97
1300500;7.97
1301400;7.97
1302300;7.97
1303200;7.97
1304100;7.97
1305000;7.97
1305900;7.97
1306800;7.97
1307700;7.97
1308600;7.97
1309500;7.97
1310400;5.4
1311300;5.4
1312200;5.4
1313100;5.4
1314000;5.4
1314900;5.4
1315800;5.4
1316700;5.4
1317600;5.4
1318500;5.4
1319400;5.4
1320300;5.4
1321200;5.4
1322100;5.4
1323000;5.4
1323900;5.4
1324800;2.67
1325700;2.67
1326600;2.67
1327500;2.67
1328400;2.67
1329300;2.67
1330200;2.67
1331100;2.67
1332000;2.67
1332900;2.67
1333800;2.67
1334700;2.67
1335600;2.67
1336500;2.67
1337400;2.67
1338300;2.67
1339200;2.99
1340100;2.99
1341000;2.99
1341900;2.99
1342800;2.99
1343700;2.99
1344600;2.99
1345500;2.99
1346400;2.99
1347300;2.99
1348200;2.99
1349100;2.99
1350000;2.99
1350900;2.99
1351800;2.99
1352700;2.99
1353600;1.55
1354500;1.55
1355400;1.55
1356300;1.55
1357200;1.55
1358100;1.55
1359000;1.55
1359900;1.55
1360800;1.55
1361700;1.55
1362600;1.55
1363500;1.55
1364400;1.55
1365300;1.55
1366200;1.55
1367100;1.55
1368000;2.97
1368900;2.97
1369800;2.97
1370700;2.97
1371600;2.97
1372500;2.97
