timestep;TWW Bedarf dezentral Booster;TWW Bedarf Vorerwärmung DLE (bis 40°C);TWW Bedarf dezentral DLE (40-56°C)
342900;12,02262797;21,54160534;11,48885618
343800;12,84715564;19,18540325;10,23221507
344700;12,3576831;18,40921175;9,818246265
345600;13,16036855;22,75398004;12,13545602
346500;12,17707631;18,87863005;10,06860269
347400;11,29108164;17,30203509;9,227752048
348300;10,8256693;16,46454495;8,781090637
349200;10,70189158;16,23634309;8,659382982
350100;11,65624466;17,4655747;9,314973174
351000;11,13649275;16,79430641;8,956963418
351900;11,63095939;17,44309816;9,302985686
352800;11,01249171;16,56086288;8,832460204
353700;10,09326928;15,6259056;8,333816318
354600;10,08221113;15,58889143;8,314075427
355500;9,669339372;15,38962548;8,207800258
356400;10,09600691;15,70719079;8,377168421
357300;9,424093123;15,00406499;8,002167995
358200;9,165483725;14,75337442;7,868466358
359100;9,085408576;15,91396162;8,487446197
360000;9,016588984;15,01025499;8,005469326
360900;9,309186788;16,27006244;8,677366633
361800;9,04122361;18,12907505;9,668840028
362700;9,369426775;22,70926964;12,11161047
363600;9,949474062;21,96885072;11,71672039
364500;9,373268433;25,35325268;13,52173476
365400;11,30554471;26,56079624;14,16575799
366300;11,96487135;27,30788372;14,56420465
367200;10,74938784;39,16565275;20,88834813
368100;15,18590688;28,6825713;15,29737136
369000;17,52752715;36,77821039;19,61504554
369900;17,59540532;43,90315087;23,4150138
370800;26,97666566;42,2471904;22,53183488
371700;27,18241061;47,33867144;25,24729144
372600;30,03940391;50,58709436;26,97978366
373500;43,17537115;62,80625252;33,49666801
374400;43,46988878;65,74462233;35,06379858
375300;43,19928119;66,27537934;35,34686898
376200;51,8466578;78,83113749;42,04327333
377100;51,12974852;82,49453873;43,99708732
378000;50,64022826;75,6141535;40,32754853
378900;52,44401605;77,50931306;41,3383003
379800;66,89225967;91,00283162;48,53484353
380700;71,21560786;94,38284418;50,33751689
381600;79,33007092;104,1156352;55,5283388
382500;84,98999358;116,8124478;62,29997215
383400;87,49457443;109,9205547;58,62429581
384300;51,62743184;74,41818071;39,68969638
385200;46,63186085;66,35913764;35,39154007
386100;52,77337708;75,1002038;40,05344202
387000;39,45639862;57,44917576;30,63956041
387900;66,55432252;88,12686636;47,00099539
388800;55,53004219;74,2491415;39,59954213
389700;57,45766541;75,61833045;40,32977624
390600;38,49302081;55,29067738;29,48836127
391500;37,21800514;55,03657244;29,35283864
392400;39,60641992;56,51579789;30,14175887
393300;37,77589061;54,8027755;29,22814693
394200;48,90872606;66,05556556;35,22963496
395100;47,94610051;65,13978774;34,74122013
396000;44,71786346;61,38825234;32,74040125
396900;44,60254156;61,65974147;32,88519545
397800;52,51714358;69,81073769;37,23239343
398700;48,3780078;65,05363467;34,69527183
399600;42,07161756;58,22094343;31,05116983
400500;54,56253608;71,08475866;37,91187129
401400;52,0843646;68,63531249;36,60549999
402300;48,68175921;64,0586498;34,16461322
403200;66,92888023;83,40732714;44,48390781
404100;57,99948461;76,69218654;40,90249949
