timestep;amb_temp;wind_speed;beam_irr;diffuse_irr;long_wave_irr
1803600;-1.7;1;0;0;262
1807200;-1.4;1;0;0;266
1810800;-1.5;1.1;0;0;264
1814400;-1.7;0.5;0;0;257
1818000;-2.2;0.4;0;0;254
1821600;-2;1.1;0;0;262
1825200;-2;1.1;0;0;266
1828800;-2.4;1.3;0;0;262
1832400;-2.7;1.2;0;0;257
1836000;-2.6;0.3;0;0;266
1839600;-2.1;0.5;0;0;276
1843200;-2.6;0.4;5;12;277
1846800;-2.1;1.1;20;49;274
1850400;-2.4;1.1;35;77;275
1854000;-2.3;0.4;30;103;281
1857600;-1.6;1.1;20;115;282
1861200;-1.5;0.4;30;105;283
1864800;-1.2;0.4;65;60;278
1868400;-1.2;1;70;15;274
1872000;-1.4;1.1;23;2;279
1875600;-1.6;1.3;0;0;285
1879200;-1.8;1.2;0;0;278
1882800;-2.1;1.2;0;0;266
1886400;-2.2;0.5;0;0;266
1890000;-2;1.2;0;0;272
1893600;-2.1;0.5;0;0;272
1897200;-2.1;1.2;0;0;272
1900800;-2.6;0.7;0;0;277
1904400;-2.2;1.3;0;0;282
1908000;-2.5;0.3;0;0;282
1911600;-2.9;1.7;0;0;282
1915200;-2.8;1;0;0;281
1918800;-3.2;1;0;0;283
1922400;-3.3;1;0;0;265
1926000;-3.1;0.9;0;0;259
1929600;-2.9;1;0;13;275
1933200;-3;1.1;35;41;278
1936800;-2.9;1.1;35;79;277
1940400;-2.5;1.1;5;107;277
1944000;-2;1;5;118;276
1947600;-1.8;1;15;110;275
1951200;-1.8;1;25;83;271
1954800;-2.1;1;45;34;271
1958400;-2;0.3;20;4;267
1962000;-2;0.2;0;0;268
1965600;-2.2;0.9;0;0;278
1969200;-2.2;0.9;0;0;276
1972800;-2.8;1;0;0;274
1976400;-2.9;1;0;0;282
1980000;-2.9;0.4;0;0;290
1983600;-2.9;0.9;0;0;286
1987200;-2.9;1;0;0;286
1990800;-3.4;1.4;0;0;288
1994400;-3.4;0.6;0;0;284
1998000;-3.6;1.3;0;0;281
2001600;-3.6;1.3;0;0;277
2005200;-3.6;0.3;0;0;274
2008800;-3.6;2.1;0;0;271
2012400;-3.5;0.9;0;0;270
2016000;-3.8;1.2;0;12;263
2019600;-3.2;0.6;4;66;261
2023200;-2.6;2.7;98;110;265
2026800;-1.8;1.1;64;155;268
2030400;-1.4;1.4;60;169;275
2034000;-0.3;1.3;142;133;265
2037600;0.6;1.2;175;74;238
2041200;0.4;0.1;81;61;215
2044800;0.1;0;13;22;239
2048400;-0.3;1.1;0;0;273
2052000;-0.4;1.2;0;0;274
2055600;-0.6;0.4;0;0;267
2059200;-0.8;1.3;0;0;268
2062800;-1;2;0;0;239
2066400;-1.5;1.2;0;0;224
2070000;-1.9;1.9;0;0;260
2073600;-1.8;0.9;0;0;290
2077200;-1.6;1.1;0;0;297
2080800;-1.7;0.4;0;0;289
2084400;-2.2;0.6;0;0;288
2088000;-2;1.1;0;0;298
2091600;-2;1.2;0;0;297
2095200;-1.8;1.2;0;0;299
2098800;-1.8;0.5;0;0;299
2102400;-1.4;1.3;1;19;301
2106000;-0.6;1.5;8;80;294
2109600;0.1;1.5;0;77;277
2113200;0.8;0.8;0;111;279
2116800;2.8;1.7;43;194;274
2120400;3.7;2.4;110;179;253
2124000;5.5;1.8;76;146;259
2127600;6.8;2.7;8;78;288
2131200;6.9;2.1;5;26;306
2134800;6.7;2.2;0;0;306
2138400;5.8;1;0;0;305
2142000;5.1;1.6;0;0;302
2145600;5.5;1.1;0;0;302
2149200;6.6;0.9;0;0;290
2152800;6.2;2.3;0;0;274
2156400;6.2;2.1;0;0;278
2160000;5.7;2.5;0;0;292
2163600;7.2;2.2;0;0;300
2167200;7.2;2.5;0;0;301
2170800;7.6;3.4;0;0;300
2174400;8;3.9;0;0;291
2178000;7.7;4.4;0;0;281
2181600;8.1;5.1;0;0;270
2185200;8;2.6;0;0;261
2188800;7.2;2.5;25;26;269
2192400;8.3;2.3;65;71;269
2196000;9.8;3;0;84;281
2199600;9.3;2.5;0;65;302
2203200;8.5;2.1;0;85;292
2206800;7.5;2.8;0;85;294
2210400;7;2.1;0;53;303
2214000;6.5;3.5;0;40;301
2217600;6.3;2.9;0;14;309
2221200;5;2.9;0;0;316
2224800;3.5;1.7;0;0;310
2228400;3.4;1.3;0;0;300
2232000;3.5;2.1;0;0;296
2235600;3.5;2.5;0;0;305
2239200;3.4;3.1;0;0;310
2242800;3.4;3.2;0;0;296
2246400;3.1;3.4;0;0;288
2250000;3.2;2;0;0;296
2253600;2.8;3.1;0;0;298
2257200;3.3;5.6;0;0;305
2260800;3.5;3;0;0;305
2264400;3.1;4.3;0;0;298
2268000;2.2;5.1;0;0;304
2271600;2.1;5.7;0;0;309
2275200;2;5.2;15;31;301
2278800;2.1;6.6;64;87;254
2282400;2.8;6.2;7;121;244
2286000;2.2;5.8;18;167;271
2289600;2.3;5.6;1;125;276
2293200;2.3;6.3;0;64;283
2296800;2.9;5.4;0;66;288
2300400;3.3;5.4;0;55;289
2304000;3.3;4.1;0;20;278
2307600;3;3.8;0;0;266
2311200;3;2.8;0;0;265
2314800;2.9;2.1;0;0;267
2318400;2.2;2.9;0;0;269
2322000;2;2.8;0;0;277
2325600;2.2;3.5;0;0;287
2329200;2.4;3.6;0;0;290
2332800;2.4;3.9;0;0;292
2336400;2.4;3.6;0;0;294
2340000;2.2;3.9;0;0;296
2343600;1.9;3.8;0;0;302
2347200;1.7;4.6;0;0;307
2350800;0.9;3.2;0;0;304
2354400;1.2;3.9;0;0;296
2358000;0.6;5.1;0;0;294
2361600;1;5.5;0;9;299
2365200;1.2;4.3;0;38;294
2368800;1.3;5.1;0;59;277
2372400;1.4;5.2;0;73;264
2376000;1.7;4.9;0;79;277
2379600;2;6.3;0;93;291
2383200;2;5.6;0;56;291
2386800;2.4;5.5;0;28;299
2390400;2.4;6.1;0;16;293
2394000;3.4;4.4;0;0;289
2397600;3.9;3.7;0;0;293
2401200;3.5;3.8;0;0;293
2404800;3.4;3.5;0;0;302
2408400;3.1;3.3;0;0;305
2412000;2.4;3.3;0;0;304
2415600;1.6;3.4;0;0;293
2419200;0.6;3.6;0;0;278
2422800;-0.1;3.7;0;0;286
2426400;-0.5;3.7;0;0;286
2430000;-0.5;3.5;0;0;287
2433600;-0.5;3.5;0;0;287
2437200;-0.5;3.4;0;0;287
2440800;-0.7;3.2;0;0;287
2444400;-1.1;1.8;0;0;279
2448000;-1;2.8;0;13;270
2451600;-0.8;3.9;0;46;277
2455200;-0.4;3.5;1;83;287
2458800;0.3;2.7;0;102;290
2462400;0.3;4.8;0;94;293
2466000;0.6;4.6;0;78;294
2469600;0.7;4.8;0;79;284
2473200;0.4;4.2;1;58;286
2476800;0.5;4.5;5;22;287
2480400;0.4;5.5;0;0;289
2484000;0.4;3.3;0;0;297
2487600;0.4;3.1;0;0;296
2491200;0.4;3.8;0;0;295
2494800;0.6;3.2;0;0;287
2498400;1.2;4.4;0;0;288
2502000;1.1;4.4;0;0;293
2505600;1.5;5;0;0;292
2509200;1;4.7;0;0;291
2512800;0.5;3.4;0;0;287
2516400;0.5;2.7;0;0;283
2520000;0.3;2.1;0;0;281
2523600;0.3;2.6;0;0;275
2527200;-0.6;2.1;0;0;274
2530800;-0.6;1.6;0;0;276
2534400;-1;2.6;32;24;268
2538000;-0.7;3.4;11;77;265
2541600;-0.7;2.7;66;126;259
2545200;0.2;4.4;76;159;249
2548800;0.8;4.6;8;147;239
2552400;-0.3;6;6;133;228
2556000;0;4.3;69;126;236
2559600;0;3.8;174;48;236
2563200;-1.2;4;64;22;233
2566800;-1.8;3.7;0;0;241
2570400;-2.4;3.2;0;0;234
2574000;-2.9;3.2;0;0;227
2577600;-3;3.2;0;0;230
2581200;-3.9;3.1;0;0;221
2584800;-4.2;2.7;0;0;216
2588400;-3.8;3.1;0;0;224
2592000;-3.6;1;0;0;236
2595600;-3.9;1.7;0;0;244
2599200;-4.3;1.6;0;0;238
2602800;-4.4;1.4;0;0;234
2606400;-5;2.1;0;0;229
2610000;-5;2;0;0;220
2613600;-5.6;2.7;0;0;212
2617200;-5.7;2.7;0;0;208
2620800;-4.8;3.4;0;24;210
2624400;-3.8;3.8;39;81;220
2628000;-2.8;4.3;25;128;231
2631600;-3.1;3.7;41;163;232
2635200;-2.7;4.1;124;163;233
2638800;-2.7;3.7;13;147;239
2642400;-3.1;3.7;0;93;243
2646000;-3.2;2.8;3;69;241
2649600;-3.1;3.6;14;21;243
2653200;-3.2;3.2;0;0;241
2656800;-3.2;2.8;0;0;236
2660400;-3.1;3.1;0;0;236
2664000;-3.1;1.8;0;0;237
2667600;-3;2;0;0;243
2671200;-3;0.9;0;0;247
2674800;-2.9;1.9;0;0;248
2678400;-2.9;2.6;0;0;250
2682000;-3;1.5;0;0;251
2685600;-2.9;1.9;0;0;253
2689200;-3;1.8;0;0;255
2692800;-2.9;2.2;0;0;252
2696400;-3;2.2;0;0;249
2700000;-3.1;1.8;0;0;255
2703600;-3.3;3.1;0;0;262
2707200;-3.6;3.9;3;36;256
2710800;-2.8;3.9;6;90;249
2714400;-2.5;4.3;43;158;245
2718000;-1.9;4.2;161;172;228
2721600;-1.5;4.7;34;202;231
2725200;-2.1;5.2;0;118;248
2728800;-2.1;3.9;0;77;251
2732400;-3.2;4.8;0;55;254
2736000;-3.3;5;0;29;252
2739600;-3.1;5;0;0;248
2743200;-2.9;4.7;0;0;243
2746800;-2.5;4.9;0;0;239
2750400;-2.6;4.2;0;0;235
2754000;-2.1;6;0;0;237
2757600;-2;4.9;0;0;250
2761200;-1.9;4.2;0;0;257
2764800;-1.7;4.7;0;0;258
2768400;-1.7;5.2;0;0;260
2772000;-1.9;5.7;0;0;269
2775600;-2;5;0;0;270
2779200;-2.1;3.5;0;0;271
2782800;-2.2;3.1;0;0;271
2786400;-1.8;4.4;0;0;266
2790000;-1.5;3;0;0;261
2793600;-1.6;2.8;18;45;261
2797200;-0.4;3.6;20;105;268
2800800;0.3;3.8;75;161;258
2804400;1.1;4.6;128;189;245
2808000;1.4;4.9;70;213;252
2811600;1.7;3.6;15;177;268
2815200;1.5;4.8;0;88;286
