timestep;val_ambient_temperature;val_beam_irr_normal;val_beam_irr_hor;val_diffuse_irr_hor;val_global_irr_hor;val_long_wave_irr;val_wind_speed;val_beam_irr_in_plane
2422800;-0.1;0;0;0;0;286;3.7;0.0
2426400;-0.5;0;0;0;0;286;3.7;0.0
2430000;-0.5;0;0;0;0;287;3.5;0.0
2433600;-0.5;0;0;0;0;287;3.5;0.0
2437200;-0.5;0;0;0;0;287;3.4;0.0
2440800;-0.7;0;0;0;0;287;3.2;0.0
2444400;-1.1;0;0;0;0;279;1.8;0.0
2448000;-1;0;0;13;13;270;2.8;0.1
2451600;-0.8;0;0;46;46;277;3.9;0.5
2455200;-0.4;3.184;1;83;84;287;3.5;5.1
2458800;0.3;0;0;102;102;290;2.7;-0.5
2462400;0.3;0;0;94;94;293;4.8;0.5
2466000;0.6;0;0;78;78;294;4.6;0.9
2469600;0.7;0;0;79;79;284;4.8;0.8
2473200;0.4;4.354;1;58;59;286;4.2;3.5
2476800;0.5;58.349;5;22;27;287;4.5;39.7
2480400;0.4;0;0;0;0;289;5.5;0.0
2484000;0.4;0;0;0;0;297;3.3;0.0
2487600;0.4;0;0;0;0;296;3.1;0.0
2491200;0.4;0;0;0;0;295;3.8;0.0
2494800;0.6;0;0;0;0;287;3.2;0.0
2498400;1.2;0;0;0;0;288;4.4;0.0
2502000;1.1;0;0;0;0;293;4.4;0.0
2505600;1.5;0;0;0;0;292;5;0.0
2509200;1;0;0;0;0;291;4.7;0.0
2512800;0.5;0;0;0;0;287;3.4;0.0
2516400;0.5;0;0;0;0;283;2.7;0.0
2520000;0.3;0;0;0;0;281;2.1;0.0
2523600;0.3;0;0;0;0;275;2.6;0.0
2527200;-0.6;0;0;0;0;274;2.1;0.0
2530800;-0.6;0;0;0;0;276;1.6;0.0
2534400;-1;607.67;32;24;56;268;2.6;250.4
2538000;-0.7;52.705;11;77;88;265;3.4;45.3
2541600;-0.7;207.71;66;126;192;259;2.7;210.2
2545200;0.2;196.243;76;159;235;249;4.4;217.1
2548800;0.8;19.325;8;147;155;239;4.6;30.2
2552400;-0.3;15.14;6;133;139;228;6;23.4
2556000;0;205.803;69;126;195;236;4.3;213.1
2559600;0;743.417;174;48;222;236;3.8;516.8
2563200;-1.2;704.437;64;22;86;233;4;331.6
2566800;-1.8;0;0;0;0;241;3.7;0.0
2570400;-2.4;0;0;0;0;234;3.2;0.0
2574000;-2.9;0;0;0;0;227;3.2;0.0
2577600;-3;0;0;0;0;230;3.2;0.0
2581200;-3.9;0;0;0;0;221;3.1;0.0
2584800;-4.2;0;0;0;0;216;2.7;0.0
2588400;-3.8;0;0;0;0;224;3.1;0.0
2592000;-3.6;0;0;0;0;236;1;0.0
2595600;-3.9;0;0;0;0;244;1.7;0.0
2599200;-4.3;0;0;0;0;238;1.6;0.0
2602800;-4.4;0;0;0;0;234;1.4;0.0
2606400;-5;0;0;0;0;229;2.1;0.0
2610000;-5;0;0;0;0;220;2;0.0
2613600;-5.6;0;0;0;0;212;2.7;0.0
2617200;-5.7;0;0;0;0;208;2.7;0.0
2620800;-4.8;0;0;24;24;210;3.4;0.1
2624400;-3.8;183.679;39;81;120;220;3.8;148.0
2628000;-2.8;77.744;25;128;153;231;4.3;84.0
2631600;-3.1;104.778;41;163;204;232;3.7;138.8
2635200;-2.7;296.527;124;163;287;233;4.1;333.2
2638800;-2.7;32.45;13;147;160;239;3.7;53.7
2642400;-3.1;0;0;93;93;243;3.7;-0.1
2646000;-3.2;12.581;3;69;72;241;2.8;10.8
2649600;-3.1;145.907;14;21;35;243;3.6;87.9
2653200;-3.2;0;0;0;0;241;3.2;0.0
2656800;-3.2;0;0;0;0;236;2.8;0.0
2660400;-3.1;0;0;0;0;236;3.1;0.0
2664000;-3.1;0;0;0;0;237;1.8;0.0
2667600;-3;0;0;0;0;243;2;0.0
2671200;-3;0;0;0;0;247;0.9;0.0
2674800;-2.9;0;0;0;0;248;1.9;0.0
2678400;-2.9;0;0;0;0;250;2.6;0.0
2682000;-3;0;0;0;0;251;1.5;0.0
2685600;-2.9;0;0;0;0;253;1.9;0.0
2689200;-3;0;0;0;0;255;1.8;0.0
2692800;-2.9;0;0;0;0;252;2.2;0.0
2696400;-3;0;0;0;0;249;2.2;0.0
2700000;-3.1;0;0;0;0;255;1.8;0.0
2703600;-3.3;0;0;0;0;262;3.1;0.0
2707200;-3.6;52.878;3;36;39;256;3.9;36.0
2710800;-2.8;27.773;6;90;96;249;3.9;35.7
2714400;-2.5;132.115;43;158;201;245;4.3;153.4
2718000;-1.9;407.163;161;172;333;228;4.2;423.4
2721600;-1.5;80.482;34;202;236;231;4.7;120.9
2725200;-2.1;0;0;118;118;248;5.2;-1.3
2728800;-2.1;0;0;77;77;251;3.9;1.0
2732400;-3.2;0;0;55;55;254;4.8;0.7
2736000;-3.3;0;0;29;29;252;5;0.4
2739600;-3.1;0;0;0;0;248;5;0.0
2743200;-2.9;0;0;0;0;243;4.7;0.0
2746800;-2.5;0;0;0;0;239;4.9;0.0
2750400;-2.6;0;0;0;0;235;4.2;0.0
2754000;-2.1;0;0;0;0;237;6;0.0
2757600;-2;0;0;0;0;250;4.9;0.0
2761200;-1.9;0;0;0;0;257;4.2;0.0
2764800;-1.7;0;0;0;0;258;4.7;0.0
2768400;-1.7;0;0;0;0;260;5.2;0.0
2772000;-1.9;0;0;0;0;269;5.7;0.0
2775600;-2;0;0;0;0;270;5;0.0
2779200;-2.1;0;0;0;0;271;3.5;0.0
2782800;-2.2;0;0;0;0;271;3.1;0.0
2786400;-1.8;0;0;0;0;266;4.4;0.0
2790000;-1.5;0;0;0;0;261;3;0.0
2793600;-1.6;289.076;18;45;63;261;2.8;143.3
2797200;-0.4;90.972;20;105;125;268;3.6;92.5
2800800;0.3;227.638;75;161;236;258;3.8;228.1
2804400;1.1;320.311;128;189;317;245;4.6;354.9
2808000;1.4;164.01;70;213;283;252;4.9;218.3
2811600;1.7;36.635;15;177;192;268;3.6;69.1
2815200;1.5;0;0;88;88;286;4.8;0.5
2818800;1.5;0;0;58;58;289;4.3;0.7
2822400;1.3;0;0;28;28;284;3.7;0.3
2826000;1.2;0;0;0;0;292;4;0.0
2829600;1.4;0;0;0;0;299;4.9;0.0
2833200;1.8;0;0;0;0;301;6.8;0.0
2836800;1.4;0;0;0;0;295;5.3;0.0
2840400;2.1;0;0;0;0;290;4.3;0.0
2844000;1.9;0;0;0;0;296;5.2;0.0
2847600;1;0;0;0;0;294;5.2;0.0
2851200;0.9;0;0;0;0;292;4.4;0.0
2854800;1.5;0;0;0;0;296;8.8;0.0
2858400;1.5;0;0;0;0;296;8.4;0.0
2862000;2.3;0;0;0;0;296;7.3;0.0
2865600;2.6;0;0;0;0;296;8.9;0.0
2869200;2;0;0;0;0;292;8.8;0.0
2872800;1.7;0;0;0;0;286;8.8;0.0
2876400;1.7;0;0;1;1;286;7.6;0.0
2880000;2.1;0;0;31;31;286;7;-0.3
2883600;2.4;4.469;1;75;76;287;6.3;7.6
2887200;2.5;0;0;79;79;286;6.9;0.4
2890800;3.1;0;0;105;105;287;6.5;-0.6
2894400;4.4;0;0;100;100;284;6.3;0.2
2898000;5.9;0;0;109;109;283;5.3;-0.5
2901600;6.5;104.784;37;154;191;276;6.1;129.2
2905200;5.9;230.21;58;101;159;266;5.3;192.0
2908800;5.1;54.05;6;42;48;274;4.1;39.3
2912400;4.7;0;0;0;0;289;3.6;0.0
2916000;4.1;0;0;0;0;288;3.5;0.0
2919600;3.9;0;0;0;0;283;2.5;0.0
2923200;4.4;0;0;0;0;283;3.5;0.0
2926800;4.2;0;0;0;0;285;1.6;0.0
2930400;4.8;0;0;0;0;285;2.8;0.0
2934000;4.8;0;0;0;0;285;1.6;0.0
2937600;3.9;0;0;0;0;294;1.3;0.0
2941200;4.2;0;0;0;0;303;1.6;0.0
2944800;1.9;0;0;0;0;292;1.6;0.0
2948400;1.2;0;0;0;0;262;1.8;0.0
2952000;0.3;0;0;0;0;245;1.6;0.0
2955600;-0.3;0;0;0;0;241;0.9;0.0
2959200;-0.4;0;0;0;0;239;1.1;0.0
2962800;-1.1;0;0;2;2;243;0.8;0.0
2966400;-1.3;68.736;5;42;47;243;0.9;47.3
2970000;-0.9;131.728;30;111;141;246;0.8;118.8
2973600;-0.2;174.701;59;170;229;249;1.7;189.7
2977200;0.7;171.471;70;210;280;255;1.8;217.4
2980800;2.5;188.2;82;225;307;257;1.6;244.3
2984400;4.3;205.487;86;212;298;261;1.6;250.2
2988000;5.8;396.989;142;161;303;281;1.2;381.0
2991600;5.9;315.765;81;115;196;295;1.1;254.5
2995200;4.6;189.687;22;54;76;296;1.4;117.3
2998800;2.5;0;0;0;0;293;1.2;0.0
3002400;1.8;0;0;0;0;282;1.5;0.0
3006000;1;0;0;0;0;271;1.7;0.0
3009600;0.4;0;0;0;0;284;1;0.0
3013200;-0.4;0;0;0;0;287;1.4;0.0
3016800;-0.5;0;0;0;0;276;1.2;0.0
3020400;-0.8;0;0;0;0;281;1.3;0.0
3024000;-0.6;0;0;0;0;297;1.9;0.0
3027600;-0.5;0;0;0;0;308;1.4;0.0
3031200;-0.3;0;0;0;0;310;1.2;0.0
3034800;-0.2;0;0;0;0;310;0.8;0.0
3038400;0.2;0;0;0;0;312;1.4;0.0
3042000;0.5;0;0;0;0;307;1;0.0
3045600;0;0;0;0;0;302;1;0.0
3049200;0.3;0;0;1;1;301;0.9;0.0
3052800;0.6;0;0;14;14;306;0.5;0.1
3056400;0.6;0;0;45;45;312;1.2;0.4
3060000;1.1;0;0;73;73;305;0.9;0.6
3063600;1.8;0;0;67;67;306;1.1;0.5
3067200;1.8;0;0;96;96;307;0.8;0.3
3070800;2;0;0;119;119;300;1.1;-1.6
3074400;1.8;0;0;99;99;301;2;-0.6
3078000;1.8;0;0;48;48;306;1.6;0.4
3081600;2;0;0;22;22;314;0.9;0.2
3085200;2.1;0;0;0;0;304;1.5;0.0
3088800;2.3;0;0;0;0;303;3.5;0.0
3092400;1.6;0;0;0;0;313;2.8;0.0
3096000;1.4;0;0;0;0;302;3.5;0.0
3099600;1.2;0;0;0;0;292;3.5;0.0
3103200;1.5;0;0;0;0;293;3.5;0.0
3106800;1.8;0;0;0;0;300;2.7;0.0
3110400;2.2;0;0;0;0;301;3.3;0.0
3114000;2.2;0;0;0;0;291;3;0.0
3117600;2.4;0;0;0;0;293;2.8;0.0
3121200;2.4;0;0;0;0;294;2.3;0.0
3124800;2.3;0;0;0;0;294;2.1;0.0
3128400;2.1;0;0;0;0;293;1;0.0
