timestep;Wetterdaten.Mittlere Aussentemperatur (Tamb) [°C];Wetterdaten.Normale Direktstrahlung  (Bn) [W/m²];Wetterdaten.Diffusstrahlung, Jahressumme (Dh) [W/m²];Wetterdaten.Globalstrahlung, Jahressumme (Gh) [W/m²];Wetterdaten.Wärmestrahlung (Lh) [W/m²];Wetterdaten.Windgeschwindigkeit (Vwnd) [m/s];Kollektor.Mitteltemperatur [°C];Kollektor.Durchsatz [l/h];Kollektor.Wärmeverlust (Qhl) [W];Kollektor.Einstrahlung in Kollektorebene (Esol) [W];Kollektor.Kollektorfeldertrag (Qsol) [W];Kollektor.Betriebstemperatur [°C];Kollektor.Austrittstemperatur [°C];Rohr 6.Temperatur [°C];Rohr 6.Wärmekapazität des Fluids [J/(l*K)];Rohr 16.Temperatur [°C];Rohr 16.Wärmekapazität des Fluids [J/(l*K)];Kollektor.Diffusstrahlung nach IAM [W];Kollektor.Globalstrahlung nach IAM  [W];Kollektor.Direktstrahlung nach IAM [W];Kollektor.Einstrahlung auf Kollektor [W/m²]
15973200;23,2;0,0;0,0;0,0;381,0;1,0;11,676883333333333;66,6;-190,4111583333333;0,0;190,4111583333333;11,676883333333333;12,448316666666665;10,0;4200,672600000001;12,448316666666665;4201,3082;0,0;0,0;0,0;0,0
15976800;22,2;0,0;0,0;0,0;375,0;1,7;11,646858333333334;66,6;-185,82555833333333;0,0;185,82555833333333;11,646858333333334;12,392341666666667;10,0;4200,672600000001;12,392541666666666;4201,3082;0,0;0,0;0,0;0,0
15980400;22,8;0,0;0,0;0,0;377,0;1,2;11,625824999999999;66,6;-178,36464999999998;0,0;178,36464999999998;11,625824999999999;12,319191666666669;10,0;4200,672600000001;12,319391666666668;4201,3082;0,0;0,0;0,0;0,0
15984000;21,0;0,0;0,0;0,0;375,0;1,3;11,468016666666669;66,6;-157,8992166666667;0,0;157,8992166666667;11,468016666666669;12,065483333333335;10,0;4200,672600000001;12,065483333333335;4201,217000000001;0,0;0,0;0,0;0,0
15987600;20,2;0,0;0,0;0,0;367,0;1,7;11,346075;66,6;-145,47875;0,0;145,47875;11,346075;11,900341666666668;10,0;4200,672600000001;11,900391666666668;4201,1258;0,0;0,0;0,0;0,0
15991200;19,2;0,0;0,0;0,0;360,0;1,7;11,236841666666665;66,6;-135,20526666666666;0,0;135,20526666666666;11,236841666666665;11,759008333333334;10,0;4200,672600000001;11,759008333333334;4201,118200000001;0,0;0,0;0,0;0,0
15994800;19,0;0,0;0,0;0,0;354,0;1,0;11,168066666666665;66,6;-127,758725;0,0;127,758725;11,168066666666665;11,662558333333335;10,0;4200,672600000001;11,662558333333335;4201,084;0,0;0,0;0,0;0,0
15998400;18,1;0,0;0,0;0,0;345,0;1,8;11,111733333333333;66,6;-125,34983333333334;0,0;125,34983333333334;11,111733333333333;11,613975000000002;10,0;4200,672600000001;11,613775;4201,084;0,0;0,0;0,0;0,0
16002000;18,5;191,45199999999997;51,0;73,0;336,0;3,5;11,656566666666667;66,59999999999998;-82,09344999999999;167,55600000000004;249,64984166666667;11,656566666666667;13,038566666666666;10,0;4200,7486;13,038616666666666;4201,464683333334;152,175;152,175;0,0;34,274
16005600;19,8;357,868;113,0;215,0;334,0;2,9;12,545083333333332;66,59999999999998;20,250958333333333;397,56700000000006;377,3156583333334;12,545083333333332;14,631675;10,0;4200,855;14,631741666666668;4201,785266666667;296,797;298,4270000000001;1,63;67,213
