timestep;MW Solar
1208700;75,35
1209600;75,35
1210500;75,35
1211400;75,35
1212300;75,35
1213200;75,35
1214100;75,35
1215000;75,35
1215900;75,35
1216800;75,35
1217700;75,35
1218600;75,35
1219500;75,35
1220400;75,35
1221300;75,35
1222200;75,35
1223100;75,35
1224000;75,35
1224900;75,35
1225800;75,35
1226700;75,35
1227600;75,35
1228500;75,35
1229400;75,35
1230300;75,35
1231200;75,35
1232100;75,35
1233000;75,35
1233900;75,35
1234800;75,35
1235700;75,35
1236600;75,35
1237500;75,35
1238400;75,35
1239300;75,35
1240200;75,35
1241100;75,35
1242000;75,35
1242900;75,35
1243800;75,35
1244700;75,35
1245600;75,35
1246500;75,35
1247400;75,35
1248300;75,35
1249200;75,35
1250100;75,35
1251000;75,35
1251900;75,35
1252800;75,35
1253700;75,35
1254600;75,35
1255500;75,35
1256400;75,35
1257300;75,35
1258200;75,35
1259100;75,35
1260000;75,35
1260900;75,35
1261800;75,35
1262700;75,35
1263600;75,35
1264500;75,35
1265400;75,35
1266300;75,35
1267200;75,35
1268100;75,35
1269000;75,35
1269900;75,35
1270800;75,35
1271700;75,35
1272600;75,35
1273500;75,35
1274400;75,35
1275300;75,35
1276200;75,35
1277100;75,35
1278000;75,35
1278900;75,35
1279800;75,35
1280700;75,35
1281600;75,35
1282500;75,35
1283400;75,35
1284300;75,35
1285200;75,35
1286100;75,35
1287000;75,35
1287900;75,35
1288800;75,35
1289700;75,35
1290600;75,35
1291500;75,35
1292400;75,35
1293300;75,35
1294200;75,35
1295100;75,35
1296000;75,35
1296900;75,35
1297800;75,35
1298700;75,35
1299600;75,35
1300500;75,35
1301400;75,35
1302300;75,35
1303200;75,35
1304100;75,35
1305000;75,35
1305900;75,35
1306800;75,35
1307700;75,35
1308600;75,35
1309500;75,35
1310400;75,35
1311300;75,35
1312200;75,35
1313100;75,35
1314000;75,35
1314900;75,35
1315800;75,35
1316700;75,35
1317600;75,35
1318500;75,35
1319400;75,35
1320300;75,35
1321200;75,35
1322100;75,35
1323000;75,35
1323900;75,35
1324800;75,35
1325700;75,35
1326600;75,35
1327500;75,35
1328400;75,35
1329300;75,35
1330200;75,35
1331100;75,35
1332000;75,35
1332900;75,35
1333800;75,35
1334700;75,35
1335600;75,35
1336500;75,35
1337400;75,35
1338300;75,35
1339200;75,35
1340100;75,35
1341000;75,35
1341900;75,35
1342800;75,35
1343700;75,35
1344600;75,35
1345500;75,35
1346400;75,35
1347300;75,35
1348200;75,35
1349100;75,35
1350000;75,35
1350900;75,35
1351800;75,35
1352700;75,35
1353600;75,35
1354500;75,35
1355400;75,35
1356300;75,35
1357200;75,35
1358100;75,35
1359000;75,35
1359900;75,35
1360800;75,35
1361700;75,35
1362600;75,35
1363500;75,35
1364400;75,35
1365300;75,35
1366200;75,35
1367100;75,35
1368000;75,35
1368900;75,35
1369800;75,35
1370700;75,35
1371600;75,35
1372500;75,35
1373400;75,35
1374300;75,35
1375200;75,35
1376100;75,35
1377000;75,35
1377900;75,35
1378800;75,35
1379700;75,35
1380600;75,35
1381500;75,35
1382400;75,35
1383300;75,35
1384200;75,35
1385100;75,35
1386000;75,35
1386900;75,35
1387800;75,35
1388700;75,35
1389600;75,35
1390500;75,35
1391400;75,35
1392300;75,35
1393200;75,35
1394100;75,35
1395000;75,35
1395900;75,35
1396800;75,35
1397700;75,35
1398600;75,35
1399500;75,35
1400400;75,35
1401300;75,35
1402200;75,35
1403100;75,35
1404000;75,35
1404900;75,35
1405800;75,35
1406700;75,35
1407600;75,35
1408500;75,35
1409400;75,35
1410300;75,35
1411200;75,35
1412100;75,35
1413000;75,35
1413900;75,35
1414800;75,35
1415700;75,35
1416600;75,35
1417500;75,35
1418400;75,35
1419300;75,35
1420200;75,35
1421100;75,35
1422000;75,35
1422900;75,35
1423800;75,35
1424700;75,35
1425600;75,35
1426500;75,35
1427400;75,35
1428300;75,35
1429200;75,35
1430100;75,35
1431000;75,35
1431900;75,35
1432800;75,35
1433700;75,35
1434600;75,35
1435500;75,35
